Remaining_gene,Necessity
YFR055W,A
YCR034W,A
YMR307W,A
YMR306W,A
YDR284C,A
YBR029C,A
YDR487C,A
YBR249C,A
YGL055W,A
YDR454C,A
YJR016C,A
YDR354W,A
YER090W,A
YKL211C,A
YHR018C,A
YOR236W,A
YOL058W,A
YKL216W,A
YCR053W,A
YDR127W,A
YDR158W,A
YGL154C,A
YBR115C,A
YJL167W,A
YPR145W,A
YPL028W,A
YNR016C,A
YJL130C,A
YER052C,A
YER069W,A
YMR062C,A
YMR108W,A
YCL009C,A
YBL015W,A
YER055C,A
YGR199W,A
YPR183W,A
YKL182W,A
YPL231W,A
YNR043W,A
YLR355C,A
YBR153W,A
YOL066C,A
YLR304C,A
YBL099W,A
YBR039W,A
YKL016C,A
YJR121W,A
YOL140W,A
YDL004W,A
YPL078C,A
YLR295C,A
YLR153C,A
YDR298C,A
YDR377W,A
YDL181W,A
Q0085,A
Q0080,A
Q0130,A
YPL271W,A
YMR323W,A
YDR226W,A
YNL280C,A
YHR042W,A
YJR105W,A
YGL012W,A
YGL001C,A
YLR100W,A
YGR060W,A
YKL001C,A
YLR359W,A
YNL220W,A
UNKNOWN,A
YER043C,A
YGR037C,A
YLR028C,A
YOR128C,A
YPR060C,A
YFL018C,A
YKL060C,A
YGL148W,A
YDR111C,A
YNR001C,A
YJR103W,A
YMR217W,A
YGR204W,A
YGR256W,A
YGR012W,A
YLR438W,A
YOR130C,A
YML106W,A
YPR167C,A
YGR209C,A
YNL241C,A
YBR218C,A
YBL033C,A
YHL012W,A
YNL071W,A
YGR193C,A
YBR221C,A
YLR081W,A
YDR234W,A
YER178W,A
YJR009C,A
YGR157W,A
YMR205C,A
YDR408C,A
YGR240C,A
YBL011W,A
YIL074C,A
YCR012W,A
YIL094C,A
YCL030C,A
YDL021W,A
YFR025C,A
YKL127W,A
YLR058C,A
YHR137W,A
YKR058W,A
YLR258W,A
YPR035W,A
YLR450W,A
YML126C,A
YER023W,A
YJR139C,A
YPR113W,A
YHR025W,A
YIL116W,A
YCL040W,A
YMR300C,A
YJL198W,A
YLR174W,A
YBR248C,A
YOR202W,A
YFL045C,A
YOR074C,A
YJR148W,A
YMR220W,A
YDR050C,A
YDR353W,A
YMR261C,A
YBR011C,A
YDR074W,A
YBR126C,A
YHR216W,A
YNL316C,A
YOR245C,A
YPL117C,A
YGL026C,A
YGL234W,A
YDR007W,A
YCL018W,A
YGL009C,A
YAR015W,A
YGR061C,A
YIL020C,A
YKL024C,A
YKL181W,A
YNL169C,A
YER026C,A
YHR007C,A
YGR208W,A
YHR072W,A
YNL268W,A
YAL038W,A
YOL143C,A
YBR256C,A
YOR095C,A
YNR050C,A
YML081C_A,A
YIR034C,A
YJR010W,A
YDL055C,A
YER003C,A
YOL126C,A
YCR073W_A,A
YDR502C,A
YER091C,A
YML082W,A
YGR125W,A
YMR208W,A
YJR073C,A
YGR175C,A
YHR190W,A
YHR046C,A
YJL153C,A
YFR030W,A
YPL023C,A
YKL067W,A
YPR138C,A
YPR074C,A
YKL120W,A
YJL088W,A
YOR184W,A
YEL021W,A
